id,latitude,longitude,population,"attractionPlaceRank",,
Yangon,16.78466,96.156745,2513023,5,,
Mandalay,21.97708,96.084144,532949,5,,
Bago,17.32873,96.498578,150528,3,,
Bagan,21.124042,94.852669,191185,5,,
SaGaing,21.88026,95.961878,46212,3,,
PyanOoLwin,22.0351,96.469824,6378,4,,
Lashio,22.9439,97.74612,88590,1,,
Taunggyi,20.78285,97.038367,108231,4,,
MawLaMyine,16.48577,97.625878,219961,3,,
KawThaung,09.9749,98.552136,57949,4,,
PaThein,16.77497,94.731538,144096,2,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
